('Address', 'Year', 'Total Gas', 'Total number')
0xfa52274dd61e1643d2205169732f29114bc240b3,2019,6339130000,181118
0xfa52274dd61e1643d2205169732f29114bc240b3,2016,4302626266,122931
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,2017,153063053121,1135600
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,2018,4117528937,68618
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2017,5290233312,112539
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,2017,53467167552,1272151
0xabbb6bebfa05aa13e908eaa492bd7a8343760477,2016,642102467,6413
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,2018,47504180297,328935
0xabbb6bebfa05aa13e908eaa492bd7a8343760477,2018,15993613432,234160
0xfa52274dd61e1643d2205169732f29114bc240b3,2017,21801690000,622905
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,2019,580212,8
t,e,266905745,266905745
0xabbb6bebfa05aa13e908eaa492bd7a8343760477,2017,50257842481,415655
0x341e790174e3a4d35b65fdc067b6b5634a61caea,2016,8350972,42
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2018,6359956049,135296
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2017,17871078,180
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,2019,6876600000,45844
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,2016,18230724414,183724
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,2018,9614776129,192717
0xabbb6bebfa05aa13e908eaa492bd7a8343760477,2019,4392548000,54230
0x7727e5113d1d161373623e5f49fd568b4f543a9e,2017,45264887181,497064
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2019,50000,1
0xfa52274dd61e1643d2205169732f29114bc240b3,2018,19750197130,564291
0xbfc39b6f805a9e40e77291aff27aee3c96915bdd,2016,14481700000,362046
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2019,1561370720,33215
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016,9976458418,65778
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,2016,14153448629,106212
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,2017,4409845975,69523
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2016,412342127,8769
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,2019,2572995022,51455
0x7727e5113d1d161373623e5f49fd568b4f543a9e,2016,814811141,15938
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2018,1191274,12
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,2016,11800348083,294997
